"task"	"kind"	"object_id"	"epistemic_state"	"entailment"	"flags"	"evidence_refs"	"reason"
"task_012"	"claims"	"claim_001"	"supported"	"pass"	"time/forecast/quant"	"M05:ch2-2:o2:0026;M04:ch3-2:o1:0040"	"evidence ref and statement treated as directly entailed"
"task_012"	"claims"	"claim_002"	"supported"	"pass"	""	"M05:ch2-2:o2:0026"	"evidence ref and statement treated as directly entailed"
"task_012"	"claims"	"claim_003"	"supported"	"pass"	""	"M05:ch2-2:o2:0026;M04:ch3-2:o1:0040"	"evidence ref and statement treated as directly entailed"
"task_012"	"claims"	"claim_004"	"supported"	"pass"	""	"M04:ch3-2:o1:0040"	"evidence ref and statement treated as directly entailed"
"task_012"	"claims"	"claim_005"	"supported"	"pass"	""	"M04:ch3-2:o1:0040"	"evidence ref and statement treated as directly entailed"
"task_012"	"claims"	"claim_006"	"uncertain"	"uncertain"	"time/forecast/quant"	"M05:ch2-2:o2:0026;M04:ch3-2:o1:0040"	"bounded/forecast or tension; not treated as established fact"
"task_012"	"claims"	"claim_007"	"uncertain"	"uncertain"	"time/forecast/quant"	"M04:ch3-2:o1:0040"	"bounded/forecast or tension; not treated as established fact"
"task_012"	"claims"	"claim_008"	"supported"	"pass"	""	"M04:ch3-2:o1:0040"	"evidence ref and statement treated as directly entailed"
"task_012"	"claims"	"claim_009"	"inference"	"partial"	"time/forecast/quant"	"M05:ch2-2:o2:0026;M04:ch3-2:o1:0040"	"evidence supports premises; conclusion remains inference"
"task_012"	"claims"	"claim_010"	"supported"	"pass"	""	"M05:ch2-2:o2:0026"	"evidence ref and statement treated as directly entailed"
"task_012"	"claims"	"claim_011"	"inference"	"partial"	""	"M04:ch3-2:o1:0040;M05:ch2-2:o2:0026"	"evidence supports premises; conclusion remains inference"
"task_012"	"claims"	"claim_012"	"supported"	"pass"	""	"M04:ch3-2:o1:0040"	"evidence ref and statement treated as directly entailed"
"task_012"	"tensions"	"tension_001"	"supported"	"pass"	"tension"	"M05:ch2-2:o2:0026;M04:ch3-2:o1:0040"	"evidence ref and statement treated as directly entailed"
"task_012"	"tensions"	"tension_002"	"uncertain"	"uncertain"	"tension"	"M05:ch2-2:o2:0026"	"bounded/forecast or tension; not treated as established fact"
"task_013"	"claims"	"claim_001"	"supported"	"pass"	""	"M05:ch5-2:o40:0057"	"evidence ref and statement treated as directly entailed"
"task_013"	"claims"	"claim_002"	"supported"	"pass"	""	"M05:ch5-2:o40:0057"	"evidence ref and statement treated as directly entailed"
"task_013"	"claims"	"claim_003"	"uncertain"	"uncertain"	""	"M05:ch5-2:o40:0057"	"bounded/forecast or tension; not treated as established fact"
"task_013"	"claims"	"claim_004"	"supported"	"pass"	""	"M05:ch5-2:o40:0057"	"evidence ref and statement treated as directly entailed"
"task_013"	"claims"	"claim_005"	"supported"	"pass"	"causal"	"M05:ch5-2:o40:0057"	"evidence ref and statement treated as directly entailed"
"task_013"	"claims"	"claim_006"	"uncertain"	"uncertain"	"time/forecast/quant"	"M05:ch5-2:o40:0057"	"bounded/forecast or tension; not treated as established fact"
"task_013"	"claims"	"claim_007"	"uncertain"	"uncertain"	""	"M05:ch5-2:o40:0057"	"bounded/forecast or tension; not treated as established fact"
"task_013"	"claims"	"claim_008"	"supported"	"pass"	"causal"	"M05:ch5-2:o40:0057"	"evidence ref and statement treated as directly entailed"
"task_013"	"claims"	"claim_009"	"inference"	"partial"	""	"M05:ch5-2:o40:0057"	"evidence supports premises; conclusion remains inference"
"task_013"	"claims"	"claim_010"	"supported"	"pass"	""	"M05:ch5-2:o40:0057"	"evidence ref and statement treated as directly entailed"
"task_013"	"claims"	"claim_011"	"inference"	"partial"	""	"M05:ch5-2:o40:0057"	"evidence supports premises; conclusion remains inference"
"task_013"	"claims"	"claim_012"	"inference"	"partial"	""	"M05:ch5-2:o40:0057"	"evidence supports premises; conclusion remains inference"
"task_013"	"tensions"	"tension_001"	"inference"	"partial"	"tension"	"M05:ch5-2:o40:0057"	"evidence supports premises; conclusion remains inference"
"task_014"	"claims"	"claim_001"	"supported"	"pass"	""	"M01:ch5-3:0062"	"evidence ref and statement treated as directly entailed"
"task_014"	"claims"	"claim_002"	"supported"	"pass"	""	"M01:ch5-3:0062"	"evidence ref and statement treated as directly entailed"
"task_014"	"claims"	"claim_003"	"inference"	"partial"	"time/forecast/quant"	"M01:ch5-3:0062"	"evidence supports premises; conclusion remains inference"
"task_014"	"claims"	"claim_004"	"inference"	"partial"	"time/forecast/quant;causal"	"M01:ch5-3:0062"	"evidence supports premises; conclusion remains inference"
"task_014"	"claims"	"claim_005"	"inference"	"partial"	"causal"	"M01:ch5-3:0062"	"evidence supports premises; conclusion remains inference"
"task_014"	"claims"	"claim_006"	"supported"	"pass"	""	"四次技术革命比较解剖_最终报告:ch2:o22:0028"	"evidence ref and statement treated as directly entailed"
"task_014"	"claims"	"claim_007"	"supported"	"pass"	""	"四次技术革命比较解剖_最终报告:ch2:o22:0028"	"evidence ref and statement treated as directly entailed"
"task_014"	"claims"	"claim_008"	"supported"	"pass"	"time/forecast/quant"	"四次技术革命比较解剖_最终报告:ch2:o22:0028"	"evidence ref and statement treated as directly entailed"
"task_014"	"claims"	"claim_009"	"uncertain"	"uncertain"	"time/forecast/quant"	"四次技术革命比较解剖_最终报告:ch2:o22:0028"	"bounded/forecast or tension; not treated as established fact"
"task_014"	"claims"	"claim_010"	"uncertain"	"uncertain"	"time/forecast/quant"	"四次技术革命比较解剖_最终报告:ch2:o22:0028"	"bounded/forecast or tension; not treated as established fact"
"task_014"	"claims"	"claim_011"	"supported"	"pass"	""	"四次技术革命比较解剖_最终报告:ch2:o22:0028"	"evidence ref and statement treated as directly entailed"
"task_014"	"tensions"	"tension_001"	"uncertain"	"uncertain"	"causal;tension"	"M01:ch5-3:0062;四次技术革命比较解剖_最终报告:ch2:o22:0028"	"bounded/forecast or tension; not treated as established fact"
"task_014"	"tensions"	"tension_002"	"uncertain"	"uncertain"	"tension"	"M01:ch5-3:0062;四次技术革命比较解剖_最终报告:ch2:o22:0028"	"bounded/forecast or tension; not treated as established fact"
"task_015"	"claims"	"claim_001"	"supported"	"pass"	""	"GPU产业技术源流与投资机会_最终报告:ch3-1:0014"	"evidence ref and statement treated as directly entailed"
"task_015"	"claims"	"claim_002"	"supported"	"pass"	""	"GPU产业技术源流与投资机会_最终报告:ch3-1:0014"	"evidence ref and statement treated as directly entailed"
"task_015"	"claims"	"claim_003"	"uncertain"	"uncertain"	"time/forecast/quant"	"GPU产业技术源流与投资机会_最终报告:ch3-1:0014"	"bounded/forecast or tension; not treated as established fact"
"task_015"	"claims"	"claim_004"	"uncertain"	"uncertain"	""	"GPU产业技术源流与投资机会_最终报告:ch3-1:0014"	"bounded/forecast or tension; not treated as established fact"
